OBJECTID,Address,Postal,Category,Organization,Property_Name,Property_Type,Year_Built,F2012_Square_Footage,F2013_Square_Footage,F2014_Square_Footage,F2015_Square_Footage,F2012_Site_EUI__kbtu_sq_ft__,F2013_Site_EUI__kbtu_sq_ft__,F2014_Site_EUI__kbtu_sq_ft__,F2015_Site_EUI__kbtu_sq_ft__,F2012_ENERGY_STAR_Score,F2013_ENERGY_STAR_Score,F2014_ENERGY_STAR_Score,F2015_ENERGY_STAR_Score,F2012_Weather_normalized_Site_E,F2013_Weather_normalized_Site_E,F2014_Weather_normalized_Site_E,F2015_Weather_normalized_Site_E,F2012_Emissions__metric_tons_,F2013_Emissions__metric_tons_,F2014_Emissions__metric_tons_,F2015_Emissions__metric_tons_,F2013_Water_Use__gal_,F2014_Water_Use__gal_,F2015_Water_Use__gal_,X,Y,PM_ID
306,1500 James Ave N,55411,Public Property,Minneapolis Public Schools,North Senior High,K 12 School,1972,283568,283568,290000,290000,115,131,129,125,,3,9,8,126,128,123,131,3856,3913,3733,3888,0,50360,5118,-93.300629,44.995312,"1,599,811"
307,1501 30th Ave N,55411,Public Property,Minneapolis Public Schools,Jordan Park,K 12 School,1999,123293,109589,123293,123293,121,160,136,147,,1,8,5,119,154,131,151,1970,2025,1831,1982,0,13520,970,-93.298236,45.011338,"3,384,328"
308,1510 Glenwood Ave,55405,Public Property,Minneapolis Public Schools,W. Harry Davis Academy Elementary,K 12 School,1995,94282,94282,94282,94282,63,79,75,69,36,33,68,68,69,74,70,75,681,746,705,706,0,5420,383,-93.29956,44.980857,"1,599,818"
309,1601 Aldrich Ave N,55411,Public Property,Minneapolis Public Schools,Hall Elementary,K 12 School,1960,79840,79840,81030,81030,82,102,101,105,40,34,57,48,91,97,95,116,705,776,735,800,0,11160,686,-93.289555,44.995312,"1,599,802"
310,1601 W 50th St,55419,Public Property,Minneapolis Public Schools,Burroughs Elementary,K 12 School,2002,162320,162320,162320,162320,56,66,68,56,58,60,76,85,60,63,64,59,1166,1159,1113,1001,0,0,1129,-93.300086,44.912326,"1,642,809"
311,1607 51st Ave N,55430,Public Property,Minneapolis Public Schools,Olson Middle School,K 12 School,1962,117825,114959,134959,134959,115,117,95,104,,24,69,47,127,111,88,114,1408,1238,1083,1317,0,18410,1255,-93.30062,45.047495,"1,642,824"
312,1615 Dowling Ave N,55412,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recreation Board, FOLWELL PARK [MN012166]",Other   Entertainment Public Assembly,2001,,13370,13370,13370,,73,72,69,,0,,0,,71,69,72,,162,150,151,0,0,0,-93.299555,45.024009,"4,346,337"
313,1800 34th Ave NE,55418,Public Property,Minneapolis Public Schools,Waite Park Elementary,K 12 School,1950,59085,59085,60083,60083,102,121,117,100,,26,46,50,111,115,110,110,670,699,642,626,0,9560,753,-93.234473,45.030385,"1,599,819"
314,1800 Chicago Ave S,55404,Public Property,Hennepin County,1800 Chicago,Office,1996,102815,102815,102815,102815,115,102,84,74,,79,87,88,123,100,79,79,1275,1033,889,847,0,2804,2574,-93.262578,44.965134,"3,602,684"
315,1801 James Ave N,55411,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recrea, NORTH COMMONS PARK [MN012185]",Other   Entertainment Public Assembly,1972,,13810,13810,13810,,114,117,98,,0,,0,,108,111,105,,194,181,165,0,0,0,-93.30069,44.997399,"3,933,724"
316,1810 34th Ave NE,55418,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recreation Board, WAITE PARK [MN012200]",Other   Entertainment Public Assembly,1979,,6212,6212,6212,,50,59,58,,0,,0,,48,55,61,,44,47,47,0,0,0,-93.234375,45.030386,"4,346,307"
317,1900 40th St E,55407,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recreation Board, SIBLEY PARK [MN012196]",Other   Entertainment Public Assembly,1973,,7732,7732,7732,,144,157,117,,0,,0,,135,137,127,,111,109,89,0,0,0,-93.244781,44.930537,"4,346,321"
318,1901 E 26th St,55404,Public Property,City of Minneapolis,Hiawatha Maintenance Facility,"Repair Services  Vehicle, Shoe, Locksmith, etc.",2010,55894,70071,51835,62192,49,49,89,72,,0,,0,52,49,87,75,550,632,810,789,0,0,87,-93.244251,44.955522,"3,632,501"
319,1925 Plymouth Ave N,55411,Public Property,City of Minneapolis,Police Precinct 4,Police Station,1988,,25319,25319,25319,,103,107,106,,0,,0,,99,100,112,,369,348,349,0,250,462,-93.305091,44.991482,"3,768,574"
320,2000 2nd St NE,55418,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recreation Board, BOTTINEAU PARK [MN012158]",Fitness Center Health Club Gym,2001,,13760,13760,13760,,99,109,87,,0,,0,,90,95,97,,130,129,117,0,0,0,-93.266211,45.008769,"4,346,309"
321,2013 Penn Ave S,55405,Public Property,Minneapolis Public Schools,Kenwood Elementary,K 12 School,1925,61300,61300,67300,67300,71,78,69,68,43,44,87,85,79,74,65,74,446,464,433,448,0,6880,507,-93.308233,44.962952,"1,599,806"
322,2101 Franklin Ave W,55405,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recreation Board, KENWOOD PARK [MN012171]",Other   Entertainment Public Assembly,1983,,5956,5956,5956,,76,80,72,,0,,0,,70,74,79,,46,47,46,0,0,0,-93.307295,44.962732,"4,346,338"
323,2117 W River Rd,55411,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recreation Board, MPRB HEADQUARTERS [MN012184]",Office,2001,,0,75327,75327,60,0,66,54,81,0,,0,63,0,62,56,,0,739,688,0,0,0,-93.276972,45.000395,"4,044,206"
324,2250 Garfield St NE,55418,Public Property,Minneapolis Public Schools,Pillsbury Elementary,K 12 School,1991,83906,83906,87705,87705,61,78,78,67,50,38,68,80,66,73,74,73,671,750,765,665,0,20020,1454,-93.23333,45.01093,"1,599,814"
325,2251 Hayes St NE,55418,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recreation Board, WINDOM NE PARK [MN012203]",Other   Entertainment Public Assembly,1991,,3880,3880,3880,,150,175,124,,0,,0,,137,158,138,,58,64,52,0,0,0,-93.234552,45.010566,"4,346,304"
326,2307 17th Ave S,55404,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recrea, EAST PHILLIPS PARK [MN012163]",Other   Entertainment Public Assembly,2010,,14564,14564,14564,,97,96,81,,0,,0,,90,89,87,,146,136,126,0,0,0,-93.249801,44.95997,"4,346,717"
327,2309 28th Ave S,55406,Public Property,Minneapolis Public Schools,Seward Elementary,K 12 School,1965,77300,77300,79692,79692,77,78,70,69,69,68,80,82,84,74,65,73,725,690,666,637,0,26610,1983,-93.231395,44.960133,"1,642,827"
328,2318 29th Ave S,55406,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recreation Board, MATTHEWS PARK [MN012181]",Other   Entertainment Public Assembly,1968,,7846,7846,7846,,134,132,118,,0,,0,,127,121,127,,137,121,121,0,0,0,-93.229907,44.959809,"4,346,317"
329,2323 11th Ave S,55404,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recrea, PHILLIPS POOL & GYM PARK [MN012193]",Other   Entertainment Public Assembly,1978,,41395,41395,41395,73,81,82,73,,0,,0,77,79,76,77,,463,438,423,0,0,0,-93.25817,44.959655,"4,346,347"
330,2401 E Minnehaha Pkwy,55417,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recreation Board, LAKE NOKOMIS PARK [MN012173]",Other   Entertainment Public Assembly,1975,,13769,13769,13769,,91,92,66,,0,,0,,84,84,72,,107,105,81,0,0,0,-93.23498,44.916319,"4,346,326"
331,2500 57th St W,55410,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recreation Board, ARMATAGE PARK [MN012156]",Fitness Center Health Club Gym,1978,,7097,7097,7097,,110,113,93,,0,,0,,103,100,100,,73,73,63,0,0,0,-93.311271,44.899767,"4,346,331"
332,2501 W 56th St,55410,Public Property,Minneapolis Public Schools,Armatage Elementary,K 12 School,1952,91500,91500,91500,91500,74,90,85,78,46,44,75,77,84,84,77,85,619,687,631,614,0,0,1113,-93.311317,44.901525,"1,642,806"
333,2600 44th Ave N,55412,Public Property,Minneapolis Public Schools,Loring Elementary,K 12 School,1928,60096,60096,60096,60096,83,102,104,87,49,41,73,83,93,94,95,97,434,499,494,434,0,18840,1664,-93.313798,45.035487,"1,599,808"
334,2600 Grand Ave S,55408,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recreation Board, WHITTIER PARK [MN012202]",Fitness Center Health Club Gym,1974,,7549,7549,7549,,147,157,130,,0,,0,,139,143,139,,135,134,120,0,0,0,-93.284301,44.953729,"4,346,541"
335,2700 12th Ave S,55407,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recreation Board, STEWART PARK [MN012198]",Other   Entertainment Public Assembly,1976,,6081,6081,6081,,134,123,107,,0,,0,,126,110,117,,88,76,71,0,0,0,-93.257578,44.95362,"4,346,538"
336,2701 44th St E,55406,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recreation Board, LAKE HIAWATHA [MN012172]",Other   Entertainment Public Assembly,1977,,3970,3970,3970,,134,138,122,,0,,0,,126,124,129,,70,68,66,0,0,0,-93.233184,44.923255,"4,346,314"
337,2727 10th Ave S,55407,Public Property,Minneapolis Public Schools,Andersen Elementary,K 12 School,1976,233252,233252,233557,233557,65,83,86,79,44,18,34,41,70,80,81,83,403,567,597,538,0,0,3381,-93.260053,44.953299,"1,642,803"
338,2728 39th Ave S,55406,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recreation Board, BRACKETT PARK [MN012159]",Other   Entertainment Public Assembly,1979,,5300,5300,5314,,63,60,50,,0,,0,,61,55,53,,44,40,37,0,0,0,-93.216566,44.953292,"4,346,323"
339,2810 Nicollet Ave S,55408,Public Property,Hennepin County,Whittier Clinic,Medical Office,2008,,0,85034,63808,,0,155,150,,0,28,17,,0,151,153,,0,1164,1249,0,954,1143,-93.277929,44.951606,"4,123,569"
340,2955 Hayes St NE,55418,Public Property,Minneapolis Public Schools,Northeast Middle,K 12 School,1956,176336,176336,176336,176336,108,132,129,122,,13,28,31,120,129,124,131,1881,1984,1921,1852,0,43240,2888,-93.234513,45.021369,"1,599,813"
341,3000 Minnehaha Ave,55406,Public Property,City of Minneapolis,Police Precinct #3,Police Station,2005,,33761,33761,33761,,104,110,100,,0,,0,,100,103,103,,494,485,472,0,1131,497,-93.234288,44.94834,"4,029,093"
342,3017 E 31st St,55406,Public Property,Minneapolis Public Schools,Longfellow Elementary,K 12 School,1925,44813,42733,42733,42733,133,172,175,156,,1,18,25,150,165,161,171,486,534,535,498,0,9750,812,-93.228114,44.946823,"1,642,821"
343,3030 53rd St E,55417,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recreation Board, KEEWAYDIN PARK [MN012169]",Other   Entertainment Public Assembly,1972,,6314,6314,6314,,165,160,127,,0,,0,,156,147,137,,110,91,79,0,0,0,-93.228907,44.90719,"4,346,316"
344,3100 43rd St W,55410,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recreation Board, LINDEN HILLS PARK [MN012174]",Other   Entertainment Public Assembly,1972,,7930,7930,7930,,138,148,116,,0,,0,,131,135,125,,110,110,94,0,0,0,-93.318987,44.925129,"4,346,333"
345,3100 E 28th St,55406,Public Property,Minneapolis Public Schools,Sullivan Elementary,K 12 School,1991,204925,204925,214421,214421,81,92,86,76,30,22,53,58,89,91,80,81,1931,2027,1791,1729,0,26700,1756,-93.226883,44.952009,"1,642,830"
346,3101 Bryant Ave S,55408,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recrea, BRYANT SQUARE PARK [MN012160]",Other   Entertainment Public Assembly,1970,,6300,6300,6300,,77,82,65,,0,,0,,72,75,68,,63,63,53,0,0,0,-93.290626,44.946503,"4,346,345"
347,3131 19th Ave S,55407,Public Property,Minneapolis Public Schools,South Senior High,K 12 School,1968,278843,278843,283094,283094,85,91,90,91,35,33,51,45,92,90,86,94,3060,2991,2737,2932,0,0,5234,-93.244813,44.94567,"1,642,828"
348,3332 20th Ave S,55407,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recreation Board, CORCORAN PARK [MN012161]",Other   Entertainment Public Assembly,1977,,5855,5855,5855,,133,133,109,,0,,0,,124,118,118,,77,72,64,0,0,0,-93.24362,44.94215,"4,346,318"
349,3333 Grand Ave S,55408,Public Property,Minneapolis Public Schools,Lyndale Elementary,K 12 School,1966,91786,91786,97506,97506,46,59,47,48,70,70,92,89,50,57,44,51,545,583,552,594,0,0,1426,-93.28428,44.942016,"1,642,822"
350,3333 Penn Ave N,55412,Public Property,Minneapolis Public Schools,Lucy Laney Elementary,K 12 School,2000,111726,111726,111726,111726,82,96,89,84,35,30,53,55,88,92,85,91,1199,1239,1105,1082,0,15640,1077,-93.30828,45.015959,"1,599,807"
351,3345 Chicago Ave,55407,Public Property,Minneapolis Public Schools,Wilder   Transition Plus,K 12 School,1975,193000,193000,205536,205536,106,110,83,89,,0,60,51,112,104,79,94,1842,1820,1578,1707,0,34850,2872,-93.262537,44.942358,"1,642,833"
352,3350 4th St N,55412,Public Property,Minneapolis Public Schools,City View Elementary,K 12 School,1999,132372,132372,132372,132372,67,63,57,58,,41,77,70,72,60,54,62,1180,1012,859,940,0,0,964,-93.284903,45.01528,"1,599,799"
353,3400 15th Ave S,55407,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recreation Board, POWDERHORN PARK [MN012194]",Other   Entertainment Public Assembly,1972,,20363,20363,20363,,107,112,91,,0,,0,,100,102,97,,276,276,242,0,0,0,-93.253746,44.941282,"4,346,531"
354,3414 W 47th St,55410,Public Property,Minneapolis Public Schools,Southwest Senior High,K 12 School,1939,254560,254560,300845,300845,99,121,98,68,47,36,71,86,113,115,91,73,2557,2736,2481,2113,0,23520,1880,-93.322968,44.917938,"1,642,829"
355,3416 4th Ave S,55408,Public Property,Minneapolis Public Schools,Green Central Park Elementary,K 12 School,1993,112715,112715,120735,120735,54,60,53,47,83,80,98,99,60,58,50,50,531,554,485,423,0,25640,1444,-93.27024,44.940439,"1,642,813"
356,3435 36th Ave S,55406,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recreation Board, LONGFELLOW PARK [MN012176]",Other   Entertainment Public Assembly,1962,,16396,16396,16396,,71,75,61,,0,,0,,66,67,65,,159,148,127,0,0,0,-93.220343,44.940478,"4,346,315"
357,3523 48th St W,55410,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recrea, PERSHING FIELD PARK [MN012192]",Other   Entertainment Public Assembly,1975,,7287,7287,7287,,78,83,71,,0,,0,,75,78,75,,67,66,60,0,0,0,-93.323962,44.916072,"4,346,329"
358,3524 42nd Ave S,55406,Public Property,Minneapolis Public Schools,Sanford Middle School,K 12 School,1926,122380,122380,132893,132893,86,124,118,94,32,22,52,68,98,119,108,103,760,1124,1140,1001,0,19410,1400,-93.21279,44.93877,"1,642,826"
359,3611 20th Ave S,55407,Public Property,Minneapolis Public Schools,Folwell Elementary,K 12 School,1945,,0,140629,140629,,0,25,73,,0,94,60,,0,25,79,,0,713,1089,0,11860,970,-93.243518,44.937474,"4,517,289"
360,3733 43rd Ave S,55406,Public Property,Minneapolis Public Schools,Howe Elementary,K 12 School,1941,,0,36161,36161,,0,31,109,,0,97,66,,0,30,118,,0,228,366,0,8520,752,-93.211438,44.935307,"4,517,274"
361,3800 Bryant Ave S,55409,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recrea, SOUTHSIDE OPERATIONS CENTER [MN012197]","Repair Services  Vehicle, Shoe, Locksmith, etc.",1986,,58683,58683,58683,87,108,118,89,,0,,0,96,101,108,95,,698,712,584,0,0,0,-93.290819,44.933985,"4,346,346"
362,3900 Bryant Ave S,55409,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recrea, LYNDALE FARMSTEAD PARK [MN012179]",Other   Entertainment Public Assembly,1977,,2785,2785,2785,,182,183,139,,0,,0,,170,164,150,,49,48,42,0,0,0,-93.290851,44.931359,"4,346,340"
363,3900 West River Pkwy,55406,Public Property,Minneapolis Public Schools,Dowling Elementary,K 12 School,2007,90776,90776,90776,90776,130,141,120,102,30,33,63,70,146,134,108,111,1078,1080,928,892,0,0,1092,-93.202792,44.931894,"1,642,837"
364,4029 28th Ave S,55406,Public Property,Minneapolis Public Schools,Roosevelt Senior High,K 12 School,1925,307029,307029,324718,324718,93,99,96,81,37,49,69,79,103,95,88,88,2791,2576,2476,2200,0,4890,2223,-93.232083,44.929019,"1,642,825"
365,4030 Chowen Ave S,55410,Public Property,Minneapolis Public Schools,Lake Harriet Lower Campus  Audubon,K 12 School,1925,37540,37540,37540,85874,116,162,183,67,,9,17,86,130,156,169,73,396,561,590,522,0,9880,571,-93.32527,44.92961,"1,642,818"
366,4055 Nicollet Ave S,55409,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recrea, REV. DR. MARTIN LUTHER KING [MN012195]",Other   Entertainment Public Assembly,1969,,20261,20261,20261,,106,111,90,,0,,0,,99,102,97,,210,206,180,0,0,0,-93.277895,44.929473,"4,346,349"
367,4131 Dupont Ave N,55412,Public Property,City of Minneapolis,Hamilton School  Police Training,Office,1960,41326,41326,41326,41326,151,176,168,154,51,46,,0,163,168,161,161,649,706,662,639,0,264,340,-93.29326,45.030539,"3,632,446"
368,4201 42nd Ave S,55406,Public Property,Minneapolis Public Schools,Hiawatha Elementary,K 12 School,1925,39042,39042,40888,40888,137,181,226,191,,5,20,35,156,169,199,211,353,445,567,484,0,11510,748,-93.212722,44.926912,"1,642,815"
369,4237 Colfax Ave S,55409,Public Property,Minneapolis Public Schools,Barton Elementary,K 12 School,1925,80464,80464,83752,83752,75,88,81,77,44,49,68,70,82,85,76,82,740,738,667,655,0,0,1168,-93.292072,44.925539,"1,642,808"
370,4305 42nd St E,55406,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recrea, HIAWATHA SCHOOL PARK [MN012168]",Other   Entertainment Public Assembly,1978,,6613,6613,6613,,105,108,100,,0,,0,,98,101,107,,79,75,72,0,0,0,-93.210901,44.926982,"4,346,320"
371,4315 31st Ave S,55406,Public Property,Minneapolis Public Schools,Northrop at Ericsson,K 12 School,2007,57874,57874,57874,57874,39,100,96,90,36,14,69,71,39,96,87,98,283,488,470,464,0,6790,524,-93.227002,44.924359,"1,778,232"
372,4320 Newton Ave N,55412,Public Property,Minneapolis Public Schools,Henry Senior High,K 12 School,1926,227525,227525,240121,240121,75,92,83,88,65,50,73,45,84,84,76,97,1668,1832,1708,2327,0,0,564,-93.305953,45.03439,"1,599,804"
373,4400 Dupont Ave N,55412,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recreation Board, WEBBER PARK [MN012201]",Other   Entertainment Public Assembly,1977,,7016,7016,7016,,94,98,83,,0,,0,,87,91,92,,81,78,69,0,0,0,-93.293912,45.037262,"4,346,328"
374,4500 Marshall St NE,55421,Public Property,City of Minneapolis,Water Treatment and Distribution Campus,Drinking Water Treatment & Distribution,1930,1500000,650000,650000,650000,324,306,349,313,,0,,0,324,300,338,327,32014,31974,32207,30269,0,0,0,-93.27679,45.04885,"3,632,661"
375,4645 4th Ave S,55419,Public Property,Minneapolis Public Schools,Field Elementary,K 12 School,1925,69530,69530,81171,81171,98,121,97,100,,21,63,37,110,116,89,107,666,743,687,904,0,6650,541,-93.27022,44.918891,"1,642,811"
376,4800 Grand Ave S,55419,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recreation Board, FULLER PARK [MN012167]",Other   Entertainment Public Assembly,1976,,6357,6357,6357,,89,95,78,,0,,0,,85,88,83,,58,56,51,0,0,0,-93.284458,44.915872,"4,346,546"
377,4912 Vincent Ave S,55410,Public Property,Minneapolis Public Schools,Lake Harriet Upper Campus  Fulton,K 12 School,1925,77238,77238,77238,77238,82,120,108,100,49,36,66,69,91,112,99,108,636,813,714,689,0,230,818,-93.31635,44.913349,"1,642,819"
378,5001 Irving Ave N,55430,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recreation Board, CREEKVIEW PARK [MN012162]",Other   Entertainment Public Assembly,1976,,6068,6068,6068,,90,94,70,,0,,0,,83,87,77,,56,51,42,0,0,0,-93.300498,45.047612,"4,346,311"
379,5025 Bryant Ave N,55430,Public Property,Minneapolis Public Schools,Jenny Lind,K 12 School,1995,,95662,96693,96693,,72,77,59,,52,53,73,,67,73,61,,809,812,669,0,11210,759,-93.291519,45.046525,"3,590,838"
380,5209 30th Ave S,55417,Public Property,Minneapolis Public Schools,Keewaydin Elementary,K 12 School,1934,44050,47500,87000,87000,145,161,94,88,,6,45,48,163,154,87,93,557,637,855,833,0,8520,704,-93.229703,44.908077,"1,642,816"
381,5531 39th Ave S,55417,Public Property,Minneapolis Parks and Recreation Board,"Other, Minneapolis Park and Recreation Board, MORRIS PARK [MN012183]",Other   Entertainment Public Assembly,1956,,4593,4593,4593,,77,85,73,,0,,0,,72,76,77,,37,38,37,0,0,0,-93.216489,44.903,"4,346,322"
382,5625 23rd Ave S,55417,Public Property,Minneapolis Public Schools,Wenonah Elementary,K 12 School,1952,42648,42648,44827,44827,108,116,104,106,45,42,67,62,120,111,95,115,442,437,393,414,0,5460,438,-93.238653,44.900759,"1,642,832"
383,5720 Emerson Ave S,55419,Public Property,Minneapolis Public Schools,Kenny Elementary,K 12 School,1954,61776,61776,61776,61776,91,111,112,97,39,35,60,74,102,107,103,105,505,544,544,469,0,11600,750,-93.29469,44.898769,"1,642,817"
384,5757 Irving Ave S,55419,Public Property,Minneapolis Public Schools,Anthony Middle School,K 12 School,1957,139806,139806,139806,139806,70,85,91,84,30,25,65,64,79,81,83,91,914,999,1015,1032,0,0,1602,-93.299703,44.898459,"1,642,805"
385,5821 Wentworth Ave S,55419,Public Property,Minneapolis Public Schools,Windom Elementary,K 12 School,1925,67466,67466,73618,73618,82,110,94,89,34,29,61,61,90,103,86,96,650,739,645,642,0,12830,1007,-93.280593,44.897558,"1,642,834"
386,6036 Harriet Ave,55419,Public Property,City of Minneapolis,Harriet Maintenance Facility,"Repair Services  Vehicle, Shoe, Locksmith, etc.",1959,53364,53364,53364,53364,61,80,82,65,,0,,0,70,75,75,70,349,413,395,339,0,1637,922,-93.285827,44.893828,"3,632,515"
